min_Gmag_bin,max_Gmag_bin,factor_uJava,factor_u,factor_J0378,factor_J0390,factor_J0400,factor_J0410,factor_J0420,factor_J0430,factor_J0440,factor_J0450,factor_J0460,factor_J0470,factor_J0480,factor_gSDSS,factor_J0490,factor_J0500,factor_J0510,factor_J0520,factor_J0530,factor_J0540,factor_J0550,factor_J0560,factor_J0570,factor_J0580,factor_J0590,factor_J0600,factor_J0610,factor_J0620,factor_rSDSS,factor_J0630,factor_J0640,factor_J0650,factor_J0660,factor_J0670,factor_J0680,factor_J0690,factor_J0700,factor_J0710,factor_J0720,factor_J0730,factor_J0740,factor_J0750,factor_J0760,factor_iSDSS,factor_J0770,factor_J0780,factor_J0790,factor_J0800,factor_J0810,factor_J0820,factor_J0830,factor_J0840,factor_J0850,factor_J0860,factor_J0870,factor_J0880,factor_J0890,factor_J0900,factor_J0910,factor_J1007
14.0,15.0,1.2534301297485424,1.3256519926264534,0.979065615410992,0.9398131215636907,0.9767775869453112,1.0142033917940665,0.9758068167203313,0.9346909665572233,0.9224653863416068,0.9696147659338532,0.9613604711515209,0.9881722470417577,0.9746962823009565,1.8242042750144463,0.9481057000558882,0.9351483167505784,0.951090438454092,0.9598286477807922,0.9932273106441681,0.9838628733612236,0.9986524669447145,1.0381365221875543,1.0233725994050547,1.009294705321173,1.0145420889051164,1.085709008162466,1.0971493652067963,1.028329566028053,1.3744119754029325,1.0841871333672257,0.883654329290906,0.9243915442443404,0.9041516964530826,0.8743292283039328,0.8873029741955136,0.9158314519206459,0.9339789101857647,0.9298302457067456,0.9327540545162162,0.9673270996961778,0.9477275438875005,0.9232289100811026,0.9362121444534995,1.9327446144984677,0.9045480454831137,0.9377477921335184,0.9660059016978242,0.9632138043698344,0.9674080207017446,0.9749136962439697,0.987802135971928,0.9803558335296707,0.9858333819284746,0.9448280119871975,1.0057081971209487,0.9603951906460866,0.96119086342998,0.944379152819375,0.952818004201192,1.1681379058688592
15.0,16.0,1.1849180865940236,1.301658576506914,1.0331001458333244,1.0317546783510516,1.0071764229575457,1.0212440715972915,1.002501492988109,0.9886063321436642,0.9706186259128707,1.01492043019002,0.992503074972801,1.0054594621071895,0.9917005268629,1.5886669631657355,0.9818990493121715,0.9611596397997546,0.9762209918171001,0.9990688373047145,0.9964908147390229,0.9945459268131993,0.9908681969682338,1.0252134367227619,1.0121316455492089,0.9980697572547494,1.0097393734636808,1.05795303830441,1.0714972806359828,1.0088228358574676,1.2371939574271842,1.0637349539174914,0.9313663859603648,0.9458578360362482,0.9521419777445428,0.9277528088165998,0.9655323734236365,0.9732985578735462,0.9415291616377258,0.9692118225919026,0.9592311981002264,0.974926401523107,0.9671211149098788,0.9711523121324428,0.9518037552975238,1.665443525261873,0.9598715422473939,0.9793728544140453,0.9551575350556188,0.9785521741854364,0.9818097692784606,1.0120967796013918,0.9811214249055586,1.0090691257597921,1.00779098939378,0.9937152829516539,0.9997155675875167,0.9891179795811765,0.9886868965482405,1.0036429035284251,0.9941025777789094,1.1537685672351936
16.0,17.0,1.1349629724917187,1.24788984303932,1.0453914589292186,0.9965139697234807,1.0028224219837982,1.0335477413806629,0.9961966092717741,1.0020201669905004,0.9966842745965852,1.0036099188676724,0.9947459101238663,1.0119957529400139,1.0064672946317608,1.5376818364416986,1.0118407991999885,0.9913500662608454,0.9983474194184982,0.9833324910972494,1.0058824370946136,1.001611558550012,1.0144064927549166,1.0210988033489765,1.0102772789279304,1.0062796549718063,1.0166684688300396,1.0168511652305035,1.0320526289570955,1.0136977123951534,1.1708808993013053,1.0445182873856762,0.9809424015192445,0.9725957921194361,0.9859041836786554,0.9638150222579923,0.9885490747281016,0.9804495402113437,1.0038577531275186,1.0037859551384591,0.9857293278951047,1.0170555635873024,1.0001698244838697,1.007529978896715,0.9858088913462676,1.5139065282859283,0.975735426376235,0.9999244734721221,1.0003551031574094,1.0010861966791598,1.004191489942074,0.9983096571172263,0.9877837467098523,0.9962073557005924,1.0016500337134593,0.9988862770211049,1.0072206490688818,0.973754305394476,0.9895839156763702,0.9844784935303404,0.9971228887549903,1.0774630879675926
17.0,18.0,1.1007036420659153,1.1463937642274802,1.0390157991224687,1.0168977203536769,0.9980444561004902,1.0207580065187218,1.0399107923561912,0.9901699971149833,1.0194355238856456,1.0152809840653192,1.0206472399852218,1.0314008116430358,0.9866907704537882,1.5362286989987375,1.0010653460209384,1.0051904544101955,1.0000168250491195,0.9981528770088581,0.9830730844691566,1.0407931662994478,1.0142819826373155,1.0084992040145633,1.009397419879281,1.0072751958486454,1.0193023737505988,1.0710711036814407,1.0231721019103326,1.02413143637217,1.2073602919709965,1.0491065396601562,0.924209623306905,0.9846202712705607,0.979273308461228,1.0017600181536894,0.9266395777760437,0.9818660703214417,0.9586259044587047,0.9774971861535899,1.0049540558448542,0.9718487914742973,0.9743612034167553,0.9901352198002902,0.9918703968457636,1.5990181748286942,1.0093874647913048,0.9430962463649133,1.0415983959907562,1.051112986826955,0.9780093701114257,0.9855411238720257,0.994655310471315,1.0037941269761468,1.0237752894209062,0.9808343361345129,0.9997014530224524,0.9754200422209447,0.9360299120615068,0.9881646462891924,1.0009323402010395,1.1222403558921934
18.0,19.0,1.12309829419176,1.1976674833196637,1.0310434252837124,1.0286989005179634,1.031527681772978,1.0602762964831198,1.01666869460793,0.9758739341117155,0.9969590320306488,1.011100827383704,1.0144806675774243,1.0420876637627388,1.0413135180847801,1.6539459409108779,0.9829074820741617,1.016279056196011,0.9666197824381153,1.0366438334716617,1.0223331825743236,1.0046951195071394,1.0365844315577135,1.0377100071536898,1.012445502848433,1.0331834459471785,1.0069624624147047,1.031524701853026,0.9756925202136373,1.0138227623405158,1.2228990759946048,0.9857511137697449,0.9781300978363687,1.0072688266772158,1.0191668991847658,1.0150926378266614,0.9955383007752049,0.9703115105426966,1.010230271725516,1.0376537042555503,0.9769123979988741,1.0058896731820575,1.0263917171519719,1.0005475789356169,0.9974215230712495,1.5004362317105593,1.0073070524074872,1.030236741438181,1.018456344297757,1.0207198731172846,1.0157708385043707,1.0252556612101822,0.9961403795019547,0.9871467891536996,0.9801521406351523,1.0364924805538132,1.0263526992888747,0.9904382503127348,1.0095108509925943,1.0460931362311174,1.0219303151115562,1.0366072639760107
19.0,20.0,1.1384743966622515,1.1916868709148927,1.0920144662402893,1.0439934414537853,1.0474961127629618,1.018015116149459,1.040723204463803,1.044676672668976,1.0030106701985921,0.9752131412698483,0.9587223822905164,1.0357607269737197,1.030913288008631,1.576834695765518,0.964687664124906,1.0194577612208513,1.0109548672608553,1.0341627581575148,0.9891747278269389,1.0379034165854573,1.0244354444293382,1.0400068838227439,1.0315925395617191,1.041676698704965,1.0540295006511486,1.025240615249861,1.0280189530101802,1.0440049167862668,1.1707657977413826,1.0436233950481317,1.0000089481331051,1.0189190134911652,1.0128752040312996,0.9879332461901207,1.0435807554273215,1.0192009251577052,0.9855109004609459,1.0022480074630808,1.0498613892961766,1.0306730346192188,1.0301827558700616,1.0381131569423405,1.008974447764253,1.5049869014289619,0.9823838366131384,1.0057132477474577,1.031692993619083,1.0055116349722266,0.9909630119780601,1.0120771864143565,1.0352915635338968,1.0093509629560922,1.0264429709677898,1.0106542410973631,0.9770054273314774,1.0020422109814853,1.0276493956008732,0.9952598738739967,1.0320620223672612,1.016489863682256
20.0,21.0,1.118609703529248,1.1933846310474527,1.1117103074313954,1.0418261039109105,0.9299150045681278,1.0670021245951402,1.0148257397756262,1.0336948882873984,1.0555844367907086,0.9966555951076643,0.9850200420242166,1.0141779893520744,1.0199564225657727,1.526586915425096,1.0026038798765589,0.9631067990342455,0.9770334511322339,1.0125470005946269,0.9631510914856457,0.9665491371418404,1.0057854199548966,0.9354415683570869,1.0207340038549015,0.9965394317111786,0.9883170520525913,0.9244128084911919,0.9734197509187961,0.9799541463687335,1.1251085287319724,0.9665528928601925,1.0046247408591618,1.014072609372275,0.9585916636879568,1.0955246098970184,0.9814591751280113,1.0260123078768957,1.0051406405850993,1.0298665707928365,1.02283082288774,0.9567662265366401,1.0508845730948444,1.0072556204227832,1.0155936820402607,1.6210768366474437,1.0242776310022599,1.02246734123288,0.9875753942110741,0.9666549684878197,1.0399501055438938,1.0581340094749778,1.035337165909302,1.0011552801712242,0.9942130090942225,1.022414813929449,1.0199856365936895,1.0863203896112346,1.0004680001685249,1.0190241459913345,1.0545724065771598,1.0400964105577644
